epoch,loss,val_loss
0,3.92741220801,1.8729362067
1,1.99335335792,1.31971712767
2,1.69700861209,1.18935153556
3,1.60480186075,1.15469935218
4,1.54604705398,1.12236616568
5,1.50374615021,1.10774227895
6,1.47592304543,1.09425146148
7,1.45695961908,1.06225441319
8,1.43320674553,1.07726584988
9,1.4133380721,1.06353645096
10,1.39876507627,1.04780557989
11,1.37865862795,1.04116223083
12,1.36804976482,1.03947166438
13,1.35609617396,1.02510439772
14,1.33843111196,1.04223664725
15,1.32268584887,1.05435867531
16,1.3119052145,1.06383795326
17,1.29479187121,1.05482734864
18,1.28797026557,1.04727247003
19,1.27728493587,1.05148479312
20,1.26077146876,1.05990554727
21,1.24868030163,1.04270391074
22,1.24103509059,1.04803917424
23,1.2302994321,1.06092123682
24,1.23102681384,1.07062717424
25,1.21579713202,1.06222583458
26,1.20775976747,1.06449851103
27,1.20029659031,1.08530866951
28,1.18710551663,1.07157803994
29,1.17573696297,1.07318085473
30,1.17589605776,1.09200663318
31,1.16936752529,1.0927001056
32,1.15525391684,1.07838758606
33,1.15349795667,1.09645271222
34,1.14603369304,1.11472374305
